date,code,open,high,low,close,preclose,volume,amount
2020-07-01,sh.000300,4172.6425,4247.7835,4163.4954,4247.7835,4163.9637,16999045600,305711799762.0000
2020-07-02,sh.000300,4239.4080,4340.1039,4238.1164,4335.8445,4247.7835,25293936800,399571526695.3000
2020-07-03,sh.000300,4353.1937,4419.5955,4348.4535,4419.5955,4335.8445,29048553900,442335024266.1000
2020-07-06,sh.000300,4465.8081,4678.1121,4465.8081,4670.0949,4419.5955,40582102500,597438217716.0000
2020-07-07,sh.000300,4739.6104,4796.3155,4688.0574,4698.1264,4670.0949,40600855300,635254742706.0000
2020-07-08,sh.000300,4692.8621,4803.3643,4670.6501,4774.0042,4698.1264,34807484700,532849825964.5000
2020-07-09,sh.000300,4770.0769,4854.1201,4757.2943,4840.7712,4774.0042,35104689300,556718732098.9000
2020-07-10,sh.000300,4796.0873,4821.3745,4734.4725,4753.1333,4840.7712,31694965100,510472055095.9000
2020-07-13,sh.000300,4742.3738,4878.0773,4741.8743,4852.9612,4753.1333,32164544600,541105098721.0000
2020-07-14,sh.000300,4836.1655,4860.4404,4729.9258,4806.6902,4852.9612,29724198500,511211048184.9000
2020-07-15,sh.000300,4821.5155,4837.4757,4723.3608,4744.4687,4806.6902,27238900600,486748347680.4000
2020-07-16,sh.000300,4741.5295,4772.5638,4513.6537,4516.2532,4744.4687,28465713300,511237962884.2000
2020-07-17,sh.000300,4524.7717,4601.3733,4485.8214,4544.7007,4516.2532,20737556300,372973887046.0000
2020-07-20,sh.000300,4597.2038,4681.9431,4534.2305,4680.3046,4544.7007,24606891400,416714222275.7000
2020-07-21,sh.000300,4697.5026,4714.2925,4661.4440,4691.0425,4680.3046,20041565900,356069805762.6000
2020-07-22,sh.000300,4682.6575,4790.4491,4675.3488,4714.4454,4691.0425,22419921100,386470859914.3000
2020-07-23,sh.000300,4668.7401,4731.4004,4607.6585,4712.4357,4714.4454,23431456900,405175268660.9000
2020-07-24,sh.000300,4679.0273,4691.6980,4479.3928,4505.5906,4712.4357,24390520300,437726712279.7000
2020-07-27,sh.000300,4535.0053,4558.1189,4482.4408,4528.4500,4505.5906,17142055100,301893370163.2000
2020-07-28,sh.000300,4567.6691,4590.2496,4537.6849,4568.2576,4528.4500,16276849800,292835785345.2000
2020-07-29,sh.000300,4559.1634,4680.5580,4548.8535,4679.0080,4568.2576,18669530500,350432649160.5000
2020-07-30,sh.000300,4689.7632,4704.6305,4649.7677,4656.1506,4679.0080,16696756600,324009242692.4000
2020-07-31,sh.000300,4652.1824,4741.8084,4621.9635,4695.0462,4656.1506,18483902600,351119312415.0000
2020-08-03,sh.000300,4735.8985,4771.3694,4720.0250,4771.3108,4695.0462,21477623900,401914824928.3000
2020-08-04,sh.000300,4778.4866,4807.0782,4747.7748,4775.8024,4771.3108,23997498500,426411345935.8000
2020-08-05,sh.000300,4761.7637,4786.7031,4711.2723,4777.1089,4775.8024,19670054800,347407839399.1000
2020-08-06,sh.000300,4779.2377,4791.8565,4691.1569,4762.7642,4777.1089,22785440600,404323404006.9000
2020-08-07,sh.000300,4742.2939,4749.0217,4637.8427,4707.9262,4762.7642,21351821600,397041212825.0000
2020-08-10,sh.000300,4681.7553,4757.6634,4646.2885,4724.8697,4707.9262,20378883200,371297560017.6000
2020-08-11,sh.000300,4730.3748,4791.5337,4674.8642,4681.7837,4724.8697,20554651100,350828586241.1000
2020-08-12,sh.000300,4668.8899,4681.6206,4566.2736,4647.6446,4681.7837,20288723900,347298673202.0000
2020-08-13,sh.000300,4666.4901,4671.7689,4626.1033,4635.7126,4647.6446,15255009200,250945872578.9000
2020-08-14,sh.000300,4627.6100,4708.0709,4617.6320,4704.6288,4635.7126,14729292100,254343934256.2000
2020-08-17,sh.000300,4727.1204,4838.0864,4721.3589,4815.2261,4704.6288,26800155600,416469154934.0000
2020-08-18,sh.000300,4816.5703,4825.3861,4788.8293,4812.7564,4815.2261,18913985400,314395904535.5000
2020-08-19,sh.000300,4804.6655,4809.0499,4738.0086,4740.6784,4812.7564,19244294800,319403284708.3000
2020-08-20,sh.000300,4708.1253,4721.4357,4662.8032,4679.1544,4740.6784,15836863900,260486563515.0000
2020-08-21,sh.000300,4717.7874,4739.4836,4684.8101,4718.8431,4679.1544,14265786400,251775160233.8000
2020-08-24,sh.000300,4746.4035,4769.4673,4716.6054,4755.8491,4718.8431,15114351200,272428686418.6000
2020-08-25,sh.000300,4769.2107,4802.4122,4746.3130,4761.9507,4755.8491,14170135100,262308788275.0000
2020-08-26,sh.000300,4761.7186,4786.4249,4689.8810,4706.1302,4761.9507,15130518000,277456360643.0000
2020-08-27,sh.000300,4718.0620,4731.9351,4679.3623,4731.3451,4706.1302,11904285000,223631511405.6000
2020-08-28,sh.000300,4727.2920,4850.4884,4719.3526,4844.2652,4731.3451,15939976500,305047882508.6000
2020-08-31,sh.000300,4870.9337,4901.2115,4816.2123,4816.2153,4844.2652,20256702900,357005064604.8000
2020-09-01,sh.000300,4803.3922,4842.1350,4791.7829,4842.1223,4816.2153,13839540200,262018070577.3000
2020-09-02,sh.000300,4859.0754,4863.5509,4797.5204,4843.8870,4842.1223,15798952400,280778613751.4000
2020-09-03,sh.000300,4841.5020,4877.0117,4800.0577,4817.0952,4843.8870,14567120100,279411988792.3000
2020-09-04,sh.000300,4737.2368,4778.2030,4726.5559,4770.2190,4817.0952,12003279600,238463337878.7000
2020-09-07,sh.000300,4759.5213,4789.3031,4655.5600,4669.3677,4770.2190,14860779100,282316394067.8000
2020-09-08,sh.000300,4683.8256,4707.8966,4639.0531,4694.3894,4669.3677,13919922700,249198138076.0000
2020-09-09,sh.000300,4634.2470,4645.1972,4558.0304,4584.5887,4694.3894,16227710700,244905191934.1000
2020-09-10,sh.000300,4632.0994,4647.7505,4572.2058,4581.9775,4584.5887,15065287800,226146354804.6000
2020-09-11,sh.000300,4572.2572,4630.8842,4563.1061,4627.2826,4581.9775,11530242400,198240927301.5000
2020-09-14,sh.000300,4652.0539,4666.9862,4625.9877,4651.0507,4627.2826,10723517900,211653411810.9000
2020-09-15,sh.000300,4649.4472,4691.4997,4630.5374,4688.4826,4651.0507,10191592500,194573684119.3000
2020-09-16,sh.000300,4683.0060,4690.6815,4638.4586,4657.3584,4688.4826,10875364100,196120184850.9000
2020-09-17,sh.000300,4642.0542,4664.9491,4601.6390,4632.7142,4657.3584,10598363100,214146647269.6000
